t,y_predictor,y_corrector
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,2.004164353383747876e+00
2.000000000000000111e-01,2.012284842482056302e+00,2.016593020420441196e+00
3.000000000000000444e-01,2.033114456498600120e+00,2.037588334563126047e+00
4.000000000000000222e-01,2.062833832867110306e+00,2.067496626110238100e+00
5.000000000000000000e-01,2.101834571238321736e+00,2.106710969275385370e+00
6.000000000000000888e-01,2.150557890575742981e+00,2.155674202770815562e+00
7.000000000000000666e-01,2.209497932851564261e+00,2.214882244504705611e+00
8.000000000000000444e-01,2.279205382309080541e+00,2.284887722814413547e+00
9.000000000000000222e-01,2.360291424604187949e+00,2.366303948626390596e+00
1.000000000000000000e+00,2.453432072259460028e+00,2.459809255061061961e+00
1.100000000000000089e+00,2.559372885157255695e+00,2.566151733301087923e+00
1.200000000000000178e+00,2.678934117277754545e+00,2.686154396028633151e+00
1.300000000000000044e+00,2.813016323569513144e+00,2.820720802427413521e+00
1.400000000000000133e+00,2.962606463741198848e+00,2.970841181655426322e+00
1.500000000000000000e+00,3.128784542901955401e+00,3.137599094842969283e+00
1.600000000000000089e+00,3.312730832374475742e+00,3.322178679077824714e+00
1.700000000000000178e+00,3.515733717680861847e+00,3.525872520527082443e+00
1.800000000000000044e+00,3.739198224680249982e+00,3.750090207836487721e+00
1.900000000000000133e+00,3.984655279144318829e+00,3.996367621268903214e+00
2.000000000000000000e+00,4.253771759719674250e+00,4.266377017721052489e+00
2.100000000000000089e+00,4.548361409274511047e+00,4.561937976822018292e+00
2.200000000000000178e+00,4.870396675093115135e+00,4.885029278800367969e+00
2.300000000000000266e+00,5.222021554300608770e+00,5.237801790744305741e+00
2.400000000000000355e+00,5.605565527309756213e+00,5.622592444308824433e+00
2.500000000000000000e+00,6.023558669022458290e+00,6.041939394886612469e+00
2.600000000000000089e+00,6.478748035035346575e+00,6.498598459799914018e+00
2.700000000000000178e+00,6.974115428239553438e+00,6.995560941236917962e+00
2.800000000000000266e+00,7.512896660021417539e+00,7.536072948500772029e+00
2.900000000000000355e+00,8.098602429820012105e+00,8.123656343718558048e+00
3.000000000000000000e+00,8.735040957139963425e+00,8.762131445532842733e+00
3.100000000000000089e+00,9.426342511320360273e+00,9.455641636536048722e+00
3.200000000000000178e+00,1.017698599649415669e+01,1.020868003237990251e+01
3.300000000000000266e+00,1.099182776231521608e+01,1.102611838367636032e+01
3.400000000000000355e+00,1.187613282526590375e+01,1.191323839608718060e+01
3.500000000000000000e+00,1.283560870077821292e+01,1.287576566946809464e+01
3.600000000000000089e+00,1.387644206310439543e+01,1.391990647368924527e+01
3.700000000000000178e+00,1.500533846796600379e+01,1.505238759690361228e+01
3.800000000000000266e+00,1.622956539260870912e+01,1.628049952169558168e+01
3.900000000000000355e+00,1.755699886912007912e+01,1.761214320583859916e+01
4.000000000000000000e+00,1.899617400986420890e+01,1.905588076746026616e+01
