t, y, k1, k2
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.328706767495863694e-03
1.000000000000000056e-01,2.004164353383747876e+00,8.120489098308470571e-03,1.673684497507821334e-02
2.000000000000000111e-01,2.016593020420441196e+00,1.652143607815896933e-02,2.546919220721046914e-02
3.000000000000000444e-01,2.037588334563126047e+00,2.524549830398417280e-02,3.457108479024020159e-02
4.000000000000000222e-01,2.067496626110238100e+00,3.433794512808381605e-02,4.409074120221095211e-02
5.000000000000000000e-01,2.106710969275385370e+00,4.384692130035777041e-02,5.407954569050219679e-02
6.000000000000000888e-01,2.155674202770815562e+00,5.382373008074856774e-02,6.459235338703191165e-02
7.000000000000000666e-01,2.214882244504705611e+00,6.432313780437484696e-02,7.568781881504114961e-02
8.000000000000000444e-01,2.284887722814413547e+00,7.540370178977449933e-02,8.742874983417942003e-02
9.000000000000000222e-01,2.366303948626390596e+00,8.712812363306927932e-02,9.988248923627379705e-02
1.000000000000000000e+00,2.459809255061061961e+00,9.956363009619369209e-02,1.131213263838582450e-01
1.100000000000000089e+00,2.566151733301087923e+00,1.127823839766666225e-01,1.272229414784241119e-01
1.200000000000000178e+00,2.686154396028633151e+00,1.268619275408801872e-01,1.422708852566803850e-01
1.300000000000000044e+00,2.820720802427413521e+00,1.418856613137852996e-01,1.583550971422403031e-01
1.400000000000000133e+00,2.970841181655426322e+00,1.579433612465289405e-01,1.755724651285570648e-01
1.500000000000000000e+00,3.137599094842969283e+00,1.751317375315063485e-01,1.940274309382044871e-01
1.600000000000000089e+00,3.322178679077824714e+00,1.935550386030370218e-01,2.138326442954785189e-01
1.700000000000000178e+00,3.525872520527082443e+00,2.133257041531674558e-01,2.351096704656429337e-01
1.800000000000000044e+00,3.750090207836487721e+00,2.345650713078309413e-01,2.579897555570001555e-01
1.900000000000000133e+00,3.996367621268903214e+00,2.574041384507709251e-01,2.826146544535277916e-01
2.000000000000000000e+00,4.266377017721052489e+00,2.819843915534588907e-01,3.091375266484719941e-01
2.100000000000000089e+00,4.561937976822018292e+00,3.084586982710966208e-01,3.377239056856032318e-01
2.200000000000000178e+00,4.885029278800367969e+00,3.369922755002405790e-01,3.685527483876354649e-01
2.300000000000000266e+00,5.237801790744305741e+00,3.677637365654506385e-01,4.018175705635874673e-01
2.400000000000000355e+00,5.622592444308824433e+00,4.009662247136340785e-01,4.377276764419424371e-01
2.500000000000000000e+00,6.041939394886612469e+00,4.368086401487344950e-01,4.765094896778680478e-01
2.600000000000000089e+00,6.498598459799914018e+00,4.755169684396396423e-01,5.184079944343679136e-01
2.700000000000000178e+00,6.995560941236917962e+00,5.173357187844997984e-01,5.636882957432075569e-01
2.800000000000000266e+00,7.536072948500772029e+00,5.625294813192398546e-01,6.126373091163332951e-01
2.900000000000000355e+00,8.123656343718558048e+00,6.113846134214059314e-01,6.655655902071623276e-01
3.000000000000000000e+00,8.762131445532842733e+00,6.642110657875184287e-01,7.228093162188928833e-01
3.100000000000000089e+00,9.455641636536048722e+00,7.213443599581084165e-01,7.847324317296004992e-01
3.200000000000000178e+00,1.020868003237990251e+01,7.831477299353132304e-01,8.517289726576013908e-01
3.300000000000000266e+00,1.102611838367636032e+01,8.500144415895442007e-01,9.242255832320953601e-01
3.400000000000000355e+00,1.191323839608718060e+01,9.223703046910316505e-01,1.002684242070795539e+00
3.500000000000000000e+00,1.287576566946809464e+01,1.000676393636300787e+00,1.087605214806000697e+00
3.600000000000000089e+00,1.391990647368924527e+01,1.085431994276758294e+00,1.179530252151976599e+00
3.700000000000000178e+00,1.505238759690361228e+01,1.177177795705096175e+00,1.279046053878841072e+00
3.800000000000000266e+00,1.628049952169558168e+01,1.276499347424497444e+00,1.386788020861536852e+00
3.900000000000000355e+00,1.761214320583859916e+01,1.384030804025610850e+00,1.503444319217724923e+00
4.000000000000000000e+00,1.905588076746026616e+01,0.000000000000000000e+00,0.000000000000000000e+00
