t,y
0.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00
2.000000000000000111e-01,2.008328706767495753e+00
3.000000000000000444e-01,2.025263358528301971e+00
4.000000000000000222e-01,2.051125105634027168e+00
5.000000000000000000e-01,2.086281626785921439e+00
6.000000000000000888e-01,2.131150015210752535e+00
7.000000000000000666e-01,2.186199954669504120e+00
8.000000000000000444e-01,2.251957206965638836e+00
9.000000000000000222e-01,2.329007434547852196e+00
1.000000000000000000e+00,2.418000383884848503e+00
1.100000000000000089e+00,2.519654457539852732e+00
1.200000000000000178e+00,2.634761705304581092e+00
1.300000000000000044e+00,2.764193267381664043e+00
1.400000000000000133e+00,2.908905305447736733e+00
1.500000000000000000e+00,3.069945460504650114e+00
1.600000000000000089e+00,3.248459879753072599e+00
1.700000000000000178e+00,3.445700858322347404e+00
1.800000000000000044e+00,3.663035145585751717e+00
1.900000000000000133e+00,3.901952970006119514e+00
2.000000000000000000e+00,4.164077841020029425e+00
2.100000000000000089e+00,4.451177191408539180e+00
2.200000000000000178e+00,4.765173928950309445e+00
2.300000000000000266e+00,5.108158971943052684e+00
2.400000000000000355e+00,5.482404849448565543e+00
2.500000000000000000e+00,5.890380453905212477e+00
2.600000000000000089e+00,6.334767041103017249e+00
2.700000000000000178e+00,6.818475580477501907e+00
2.800000000000000266e+00,7.344665567299972331e+00
2.900000000000000355e+00,7.916765417679251904e+00
3.000000000000000000e+00,8.538494577402623520e+00
3.100000000000000089e+00,9.213887486596652465e+00
3.200000000000000178e+00,9.947319554051730961e+00
3.300000000000000266e+00,1.074353530790345346e+01
3.400000000000000355e+00,1.160767890328164320e+01
3.500000000000000000e+00,1.254532718261295088e+01
3.600000000000000089e+00,1.356252550059200956e+01
3.700000000000000178e+00,1.466582654352362880e+01
3.800000000000000266e+00,1.586233239189772348e+01
3.900000000000000355e+00,1.715974009581211490e+01
4.000000000000000000e+00,1.856639105533905010e+01
