t, y
0.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000056e-01,2.004164353383747876e+00
2.000000000000000111e-01,2.016593020420441196e+00
3.000000000000000444e-01,2.037588334563126047e+00
4.000000000000000222e-01,2.067496626110238100e+00
5.000000000000000000e-01,2.106710969275385370e+00
6.000000000000000888e-01,2.155674202770815562e+00
7.000000000000000666e-01,2.214882244504705611e+00
8.000000000000000444e-01,2.284887722814413547e+00
9.000000000000000222e-01,2.366303948626390596e+00
1.000000000000000000e+00,2.459809255061061961e+00
1.100000000000000089e+00,2.566151733301087923e+00
1.200000000000000178e+00,2.686154396028633151e+00
1.300000000000000044e+00,2.820720802427413521e+00
1.400000000000000133e+00,2.970841181655426322e+00
1.500000000000000000e+00,3.137599094842969283e+00
1.600000000000000089e+00,3.322178679077824714e+00
1.700000000000000178e+00,3.525872520527082443e+00
1.800000000000000044e+00,3.750090207836487721e+00
1.900000000000000133e+00,3.996367621268903214e+00
2.000000000000000000e+00,4.266377017721052489e+00
2.100000000000000089e+00,4.561937976822018292e+00
2.200000000000000178e+00,4.885029278800367969e+00
2.300000000000000266e+00,5.237801790744305741e+00
2.400000000000000355e+00,5.622592444308824433e+00
2.500000000000000000e+00,6.041939394886612469e+00
2.600000000000000089e+00,6.498598459799914018e+00
2.700000000000000178e+00,6.995560941236917962e+00
2.800000000000000266e+00,7.536072948500772029e+00
2.900000000000000355e+00,8.123656343718558048e+00
3.000000000000000000e+00,8.762131445532842733e+00
3.100000000000000089e+00,9.455641636536048722e+00
3.200000000000000178e+00,1.020868003237990251e+01
3.300000000000000266e+00,1.102611838367636032e+01
3.400000000000000355e+00,1.191323839608718060e+01
3.500000000000000000e+00,1.287576566946809464e+01
3.600000000000000089e+00,1.391990647368924527e+01
3.700000000000000178e+00,1.505238759690361228e+01
3.800000000000000266e+00,1.628049952169558168e+01
3.900000000000000355e+00,1.761214320583859916e+01
4.000000000000000000e+00,1.905588076746026616e+01
